file,begin,end,speaker,loglikelihood
027280-3101025,0.0,2.7306875,027280,-5.884813186813187
027280-3097206,0.0,3.6266875,027280,-5.402621546961326
027280-3104219,0.0,2.432,027280,-5.464477366255144
027280-3102957,0.0,2.816,027280,-4.861896797153025
027280-3098951,0.0,3.072,027280,-5.460951140065147
027280-3099361,0.0,3.328,027280,-5.491424698795181
027280-3104140,0.0,2.9866875,027280,-5.31120134228188
027280-3102333,0.0,2.304,027280,-5.109786956521739
027280-3097979,0.0,5.3333125,027280,-5.414210131332083
027280-3105558,0.0,3.1573125,027280,-5.019657142857143
027280-3098520,0.0,4.352,027280,-5.525981609195402
027280-3099658,0.0,3.072,027280,-5.835048859934853
027280-3102776,0.0,2.816,027280,-5.773953736654804
027280-3103438,0.0,4.0106875,027280,-4.965019950124688
027280-3106403,0.0,3.456,027280,-5.531472463768115
027280-3103036,0.0,2.176,027280,-5.1701152073732715
027280-3101647,0.0,2.8586875,027280,-5.772515789473684
027280-3104274,0.0,3.0293125,027280,-5.672569536423841
027280-3096876,0.0,2.56,027280,-4.7992578125
027280-3103633,0.0,3.2426875,027280,-5.463351851851852
027280-3099123,0.0,1.9626875,027280,-5.160132653061225
027280-3104307,0.0,2.0053125,027280,-5.245775
027280-3100762,0.0,2.2613125,027280,-4.859619469026548
027280-3104517,0.0,4.352,027280,-5.180459770114942
027280-3106486,0.0,2.7733125,027280,-5.625758122743682
027280-3096539,0.0,2.3893125,027280,-5.051386554621849
027280-3100137,0.0,2.7306875,027280,-5.712216117216117
027280-3097444,0.0,2.048,027280,-4.974549019607843
027280-3102625,0.0,2.8586875,027280,-5.621028070175439
027280-3096647,0.0,1.7493125,027280,-4.65498908045977
027280-3101065,0.0,3.6266875,027280,-5.443414364640884
027280-3096219,0.0,3.5413125,027280,-5.369358757062146
027280-3100855,0.0,4.2666875,027280,-5.733220657276995
027280-3099041,0.0,2.6453125,027280,-5.303284090909091
027280-3105086,0.0,3.2,027280,-5.339965625
027280-3100984,0.0,2.816,027280,-5.56779359430605
027280-3099473,0.0,3.1146875,027280,-5.136807073954984
027280-3096444,0.0,3.0293125,027280,-4.956201986754967
027280-3097761,0.0,3.4986875,027280,-5.338553008595988
027280-3097484,0.0,2.6026875,027280,-5.077592307692307
027280-3099838,0.0,2.5173125,027280,-5.237713147410358
027280-3102115,0.0,2.4746875,027280,-5.3952307692307695
027280-3096238,0.0,2.0053125,027280,-5.497865000000001
027280-3104826,0.0,2.816,027280,-5.853740213523132
027280-3096132,0.0,2.1333125,027280,-5.266671361502347
027280-3101896,0.0,2.7733125,027280,-5.342039711191335
027280-3096350,0.0,2.4746875,027280,-5.71753036437247
027280-3103470,0.0,2.688,027280,-5.219350746268657
027280-3099184,0.0,2.944,027280,-5.62587074829932
027280-3098917,0.0,3.2426875,027280,-5.7469166666666665
027280-3101205,0.0,2.432,027280,-5.765679012345679
027280-3103296,0.0,2.9866875,027280,-5.305557046979866
027280-3096567,0.0,2.6026875,027280,-5.129503846153846
027280-3098800,0.0,1.6213125,027280,-4.837117283950618
027280-3105715,0.0,2.3893125,027280,-4.987995798319328
027280-3103090,0.0,3.712,027280,-5.426803234501348
027280-3105237,0.0,2.176,027280,-4.721930875576037
027280-3105804,0.0,3.9253125,027280,-5.585859693877551
027280-3099807,0.0,4.0106875,027280,-5.724773067331671
027280-3101817,0.0,1.92,027280,-4.700701041666666
027280-3103363,0.0,2.2613125,027280,-4.6940619469026545
024832-2212270,0.0,4.644,024832,-6.3051573275862065
027280-3097610,0.0,4.608,027280,-5.3177326086956525
027280-3096014,0.0,2.6453125,027280,-5.440765151515151
027280-3096382,0.0,1.9626875,027280,-5.386403061224489
027280-3099009,0.0,2.304,027280,-4.930356521739131
024832-2290691,0.0,2.92575,024832,-5.222650684931507
024832-2788423,0.0,4.4118125,024832,-6.275789115646258
024832-2471266,0.0,4.922625,024832,-5.395451219512195
024832-2215442,0.0,2.9721875,024832,-5.784138047138047
024832-2215276,0.0,2.1826875,024832,-6.590756880733945
024832-2212702,0.0,1.5325,024832,-6.388139869281046
024832-2783247,0.0,3.018625,024832,-5.867581395348838
